MajorLinkerVersion,MinorOperatingSystemVersion,MajorSubsystemVersion,SizeOfStackReserve,TimeDateStamp,MajorOperatingSystemVersion,Characteristics,ImageBase,Subsystem,MinorImageVersion,MinorSubsystemVersion,SizeOfInitializedData,DllCharacteristics,DirectoryEntryExport,ImageDirectoryEntryExport,CheckSum,DirectoryEntryImportSize,SectionMaxChar,MajorImageVersion,AddressOfEntryPoint,SectionMinEntropy,SizeOfHeaders,SectionMinVirtualsize,malware
10,1,5,1048576,1399209558,5,258,4194304,2,0,1,383488,33088,0,0,520950,113,3221225536,0,59882,4.226479277,1024,9364,1
8,0,4,1048576,1433043881,4,258,4194304,2,0,0,1024,0,0,0,0,1,1610612768,0,233678,0,512,12,1
6,0,4,1048576,1433141554,4,271,4194304,2,0,0,4096,0,0,0,0,11,3758096512,0,107328,0,4096,4096,1
5,0,4,1048576,1309982321,4,8462,268435456,2,0,0,1536,0,0,8448,0,8,3221225536,0,4484,0.424357137,1024,52,1
6,0,4,1048576,1260053446,4,271,4194304,2,0,0,119808,32768,0,0,0,155,3758096448,6,12860,0,1024,4496,1
8,0,5,262144,1236385374,6,34,65536,1,0,2,41472,0,0,0,317831,96,3791650848,6,219616,0.259962899,1024,56,1
9,0,5,1048576,1404722825,5,258,4194304,2,0,0,667648,33088,0,0,2018179856,7,3758096416,0,9467,0.293594307,1024,512,1
6,0,4,1048576,1348527273,4,271,4194304,2,3,0,20480,0,0,0,108041,50,3221225536,2,4636,0,4096,4704,1
2,0,4,2097152,1393483319,4,775,4194304,2,0,0,285696,0,0,0,542991,76,3221225600,1,4672,0,1024,608,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,17920,32768,0,0,0,96,3221225536,6,42488,0,1024,8,1
8,0,4,2097152,1160675868,4,259,805306368,2,33,0,334848,0,3,7740,370858,49,3791650880,10,4300,0.174051902,1024,900,1
8,4,4,1048576,1287238958,10,271,4194304,2,3,0,4096,0,0,0,0,10,3758096512,9,1223360,0,4096,4096,1
10,1,5,1048576,1356356550,5,258,4194304,2,0,1,31744,34112,0,0,0,87,3221225536,0,7884,0.061162852,1024,12,1
10,1,5,1048576,1390928480,5,258,4194304,2,0,1,282112,33088,0,0,2018189464,74,3221225536,0,5494,2.103666069,1024,3964,1
6,0,4,1048576,1023816237,4,8462,268435456,2,0,0,77824,0,4,191872,0,146,3758096416,0,237568,2.324590053,4096,6048,1
9,0,5,1048576,1384626370,5,259,4194304,2,0,0,235008,33024,0,179968,0,211,3221225536,0,120536,2.54687728,1024,20275,1
6,0,4,1048576,1260053532,4,271,4194304,2,0,0,308224,32768,0,0,595921,155,3221225600,6,12538,0,1024,4764,1
6,0,4,1048576,1445122529,4,271,4194304,3,0,0,12288,0,0,0,0,58,3221225536,0,7708,0.799148411,4096,1288,1
9,0,5,1048576,1403690802,5,258,4194304,2,0,0,598528,33088,0,0,2018160408,7,3758096416,0,15180,0.293594307,1024,512,1
8,0,4,1048576,1402101078,4,258,4194304,2,0,0,17920,34112,0,0,0,1,1610612768,0,301303,0.101910426,512,12,1
9,0,5,1048576,1445166607,5,259,4194304,2,0,0,369664,32768,0,0,0,345,3221225536,0,185661,3.897412553,1024,14562,1
10,1,5,1048576,1354318812,5,259,4194304,2,0,1,8192,33088,0,0,354800,14,3758096512,0,766864,0,4096,8192,1
12,1,5,1048576,1440873830,5,8450,268435456,2,0,1,275968,320,1,359728,573263,130,3221225536,0,115198,1.440021113,1024,5600,1
11,1,5,1048576,1376814218,5,258,4194304,2,1,1,693760,32832,0,0,933417,99,3221225536,5,168614,4.873235134,1024,7324,1
6,0,4,1048576,612541029,4,271,4194304,2,0,0,43008,0,0,0,0,11,3758096416,0,6219,0,1024,13352,1
1,512,4,1048576,23948438,1,15,4194304,2,0,1,32768,0,0,0,0,335,3221225536,0,17668,2.747068665,4096,2305,1
6,0,4,1048576,1412656826,4,271,4194304,2,0,0,186368,34112,0,0,2781590,166,3221225600,6,12846,0,1024,5216,1
8,0,4,1048576,1406792893,4,258,4194304,2,0,0,1536,34112,0,0,35036,2,3758096608,0,45060,0,512,40960,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,305664,34112,0,0,366598,41,3221225536,6,5339,0,1024,348,1
10,1,5,1048576,1440505317,5,258,4194304,2,0,1,120832,33088,0,0,334964,188,3221225536,0,116772,4.782373847,1024,14408,1
6,0,4,1048576,13644,4,271,4194304,2,0,0,98304,0,0,0,0,87,3221225536,0,18672,2.684969293,4096,20165,1
8,0,4,1048576,1334643107,4,259,4194304,2,0,0,14336,1024,0,0,73064,17,1610612768,0,4829,3.369668001,1024,1055,1
9,0,4,1048576,1126362626,4,33183,4194304,2,0,0,147968,0,0,0,1652092,38,3221225536,0,17424,0.889906554,1024,1164,1
9,0,5,1048576,1388412458,5,258,4194304,2,0,0,353792,33088,0,0,2018353480,216,3221225536,0,53602,2.521768057,1024,22976,1
10,1,5,1048576,1438594507,5,258,4194304,2,0,1,75776,33088,0,0,205533,100,3221225536,0,58012,3.174084776,1024,11034,1
10,1,5,1048576,1393002213,5,258,4194304,2,0,1,308736,33088,0,0,2018244368,75,3221225536,0,14203,3.525679439,1024,6698,1
10,1,5,1048576,1391514521,5,258,4194304,2,0,1,282112,33088,0,0,2018190656,74,3221225536,0,5494,2.104846359,1024,3964,1
11,1,5,1048576,1398933413,5,258,4194304,2,0,1,387584,33088,0,0,2018369176,90,3221225536,0,17531,5.443037669,1024,8888,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,21504,32768,0,0,2456730,114,3221225536,6,49600,0,1024,8,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,21504,32768,0,0,3026061,114,3221225536,6,49600,0,1024,8,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,309760,34112,0,0,342419,41,3221225536,6,5339,0,1024,348,1
7,0,4,1048576,1182949341,4,271,4194304,2,0,0,135168,0,0,0,161970,0,3221225536,0,434408,4.771086313,4096,15112,1
8,0,4,1048576,1398497033,4,258,4194304,2,0,0,1536,34112,0,0,0,1,1610612768,0,48814,0.077633162,512,12,1
11,1,5,1048576,1364584891,5,258,4194304,2,1,1,751104,32832,0,0,982344,99,3221225536,5,182486,4.856975273,1024,7410,1
8,0,4,1048576,1309291194,4,259,4194304,2,0,0,28672,0,0,0,0,19,3758096512,0,2073136,0,4096,28672,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,321024,34112,0,0,396253,41,3221225536,6,5339,0,1024,348,1
9,0,5,1048576,1333224430,5,8450,268435456,3,0,0,20480,320,4,46176,99689,84,3221225536,0,21862,4.42570565,1024,1508,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,131072,0,0,0,381680,19,3758096480,0,917505,0,1024,4096,1
11,0,4,1048576,1435013409,4,258,4194304,2,0,0,34816,34112,0,0,5081793,1,1610612768,0,4994734,0.101910426,512,12,1
9,2,5,1048576,1339247964,5,34,5368709120,3,0,2,165376,33088,0,0,0,167,3221225536,0,1074142929,0,1024,2010,1
9,0,5,1048576,1395424811,5,259,4194304,2,0,0,59904,33024,0,0,263089,94,3221225536,0,56667,2.42812874,1024,11524,1
5,0,4,1048576,2099200,4,271,4194304,2,0,0,43008,0,0,0,0,11,3221225600,0,6760,0,1024,13352,1
6,0,4,1048576,676557459,4,259,4194304,2,0,0,12288,0,0,0,88003,21,2147483712,0,15329,2.584102318,4096,1216,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,309760,34112,0,0,342830,41,3221225536,6,5339,0,1024,348,1
0,1,5,1048576,1368036359,5,783,4194304,2,0,1,131072,1,0,0,0,38,3221225600,0,4434,0,1024,192,1
8,0,4,1048576,1306950424,4,258,4194304,2,0,0,225280,0,0,0,0,100,3221225536,0,14764,1.560551912,4096,6266,1
6,0,4,1048576,1290097655,4,271,4194304,2,0,0,35328,0,0,0,153019,122,3221226048,0,84740,0.020393135,1024,4,1
10,2,5,1048576,1285441344,5,34,5368709120,3,0,2,28160,33088,0,0,126879,74,3221225536,0,35132,2.340448375,1024,436,1
6,0,4,1048576,1126119805,4,271,4194304,2,0,0,53248,0,0,0,0,52,3758096448,0,4188,0.114895584,4096,44,1
9,0,5,1048576,1413340348,5,259,4194304,2,0,0,31744,32768,0,0,0,0,3221225536,0,14031,0,1024,6936,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,13824,32768,0,0,489921,96,3221225536,6,42488,0,1024,8,1
10,1,5,1048576,1399474927,5,258,4194304,2,0,1,394752,33088,0,0,543139,112,3221225536,0,59901,4.190376475,1024,9384,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,21504,32768,0,0,1636819,114,3221225536,6,49600,0,1024,8,1
9,0,5,1048576,1394821908,5,259,4194304,2,0,0,59904,33024,0,0,250573,94,3221225536,0,52955,2.448548687,1024,11524,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,17920,32768,0,0,0,96,3221225536,6,42488,0,1024,8,1
6,0,4,1048576,1260053446,4,271,4194304,2,0,0,119808,32768,0,0,0,155,3221225600,6,12860,0,1024,4496,1
10,1,5,1048576,1393507256,5,8450,268435456,2,0,1,35840,320,5,76208,121660,93,3221225536,0,31351,3.88299626,1024,4056,1
11,1,5,4000000,1330723457,5,258,4194304,2,1,1,307712,32768,0,0,383681,67,3221225536,5,33196,1.596133156,1024,5560,1
6,0,4,1048576,1260053532,4,271,4194304,2,0,0,308224,32768,0,0,501037,155,3221225600,6,12538,0,1024,4764,1
9,0,5,1048576,1329801591,5,259,4194304,2,0,0,144384,33792,0,0,10385948,168,3221225600,6,14154,0,1024,6418,1
11,1,5,4000000,1362019288,5,258,4194304,2,1,1,322560,33792,0,0,402271,2,3221225536,5,9712,1.523247153,1024,1592,1
9,0,5,1048576,1419857592,5,259,4194304,2,0,0,560640,33024,0,0,705889,128,3221225536,0,65526,4.034378031,1024,14776,1
11,1,5,1048576,1372528481,5,258,4194304,2,1,1,693760,32832,0,0,951468,99,3221225536,5,183558,4.881660121,1024,7400,1
6,0,4,1048576,631084482,4,271,4194304,2,0,0,43008,0,0,0,0,11,3758096416,0,6530,0,1024,13352,1
8,2,5,524288,1122960915,5,35,16777216,2,2,2,7680,32768,0,0,80822,65,3221225536,5,1073769949,0,1024,1020,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,17920,32768,0,0,0,96,3221225536,6,42488,0,1024,8,1
8,0,4,1048576,1283246771,4,259,4194304,2,0,0,8192,0,0,0,134987,14,3758096512,0,348688,0,4096,8192,1
6,0,4,1048576,1018662584,4,271,4194304,2,0,0,561152,0,0,0,0,119,3221225536,0,33880,0,4096,16,1
9,2,5,1048576,1369045054,5,35,5368709120,2,0,2,73216,33024,0,211504,0,213,3221225536,0,137036,2.265760626,1024,8352,1
9,0,5,1048576,1407140910,5,259,4194304,2,0,0,839680,32768,0,0,0,116,3221225536,0,51234,4.540849633,1024,10344,1
11,1,5,4000000,1332714068,5,258,4194304,2,1,1,204800,32832,0,0,1091483,66,3221225536,5,844961,5.429117814,1024,11566,1
8,0,5,524288,1161043042,6,34,4294967296,2,0,2,392704,32832,0,0,981485,354,3221225536,6,1074646353,0,1024,3536,1
6,0,4,1048576,596991535,4,271,4194304,2,0,0,43008,0,0,0,0,11,3758096480,0,6305,0,1024,13352,1
6,0,4,1048576,1396086123,4,271,4194304,2,0,0,119808,32768,0,0,2650202,154,3221225600,6,15827,0,1024,4504,1
5,0,4,1048576,1432215227,4,271,4194304,2,0,0,5120,0,0,0,0,10,3758096416,0,4288,3.981241137,1536,2048,1
6,0,4,1048576,1268906586,4,8462,285212672,2,40,0,40960,0,4,366016,431800,51,3221225536,1,4612,0,4096,6588,1
8,0,4,1048576,1363078305,4,258,4194304,2,0,0,277504,34112,0,0,318473,41,3221225536,6,5339,0,1024,348,1
11,0,4,1048576,1396379625,4,258,4194304,2,0,0,13312,34112,0,0,0,1,3221225536,0,49214,0.081539412,1024,12,1
2,0,5,1048576,1444487823,5,33167,4194304,2,0,0,53248,33088,0,0,4225284,120,3221225536,6,70588,0,1024,8,1
2,0,4,1048576,708992537,4,33166,4194304,2,0,0,21504,32768,0,0,1649066,114,3221225536,6,49600,0,1024,8,1
6,0,4,1048576,1244324519,4,271,4194304,2,1,0,164864,32768,0,0,0,155,3221225600,6,12538,0,1024,4764,1
2,0,4,1048576,708992537,1,33167,4194304,2,0,0,17920,32768,0,0,2188192072,96,3221225536,6,42488,0,1024,8,1
10,1,5,1048576,1399474927,5,258,4194304,2,0,1,394752,33088,0,0,548291,112,3221225536,0,59901,4.190376475,1024,9384,1
